지역코드,아파트,시도명,시군구,법정동,지번,거래일,전용면적,층,거래금액
47210,명성방산,경상북도,영주시,하망동,83,2022-06-09,59.8455,3,"7,050"
47210,엘리트빌,경상북도,영주시,하망동,315-3,2022-06-15,115.9,6,"17,000"
47210,청구,경상북도,영주시,하망동,524-1,2022-06-16,84.8921,11,"16,600"
47210,코오롱1차,경상북도,영주시,하망동,276-1,2022-06-25,56.4,3,"4,800"
47210,현대2,경상북도,영주시,휴천동,452,2022-06-01,74.58,2,"9,400"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-06-14,59.76,6,"8,300"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-06-15,59.76,2,"8,500"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-06-16,75.33,3,"11,300"
47210,남산현대,경상북도,영주시,휴천동,1777,2022-06-17,59.76,4,"8,800"
47210,현대1,경상북도,영주시,휴천동,456,2022-06-19,74.507,11,"12,000"
47210,현대2,경상북도,영주시,휴천동,452,2022-06-20,59.407,13,"9,000"
47210,현대동산,경상북도,영주시,휴천동,168,2022-06-20,77.239,16,"11,500"
47210,휴천주공,경상북도,영주시,휴천동,392,2022-06-21,42.55,1,"5,200"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-06-01,59.7285,5,"6,100"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-06-03,45.0457,4,"6,100"
47210,명성2차,경상북도,영주시,가흥동,539-1,2022-06-10,59.7285,3,"6,500"
47210,가흥동현대,경상북도,영주시,가흥동,520-3,2022-06-11,75.01,3,"11,100"
47210,가흥세영리첼,경상북도,영주시,가흥동,1796,2022-06-11,59.2111,10,"21,500"
47210,가흥동현대,경상북도,영주시,가흥동,520-3,2022-06-12,63.82,6,"11,000"
47210,화성리버빌1,경상북도,영주시,가흥동,522-7,2022-06-20,55.8277,3,"8,600"
47210,풍기코아루,경상북도,영주시,풍기읍 동부리,593,2022-06-07,77.464,9,"23,000"
47210,화성,경상북도,영주시,풍기읍 교촌리,50,2022-06-08,53.66,3,"5,000"
